"Name","Count"
"prizes","7"
"slumber","7"
"brooding","7"
"fail","7"
"promised","7"
"prowess","7"
"mantle","7"
"swore","7"
"heaven's","7"
"bitter","7"
"magnificent","7"
"fleece","7"
"rain","7"
"tore","7"
"altar","7"
"reasonably","7"
"flung","7"
"plant","7"
"loose","7"
"grows","7"
"bottom","7"
"bent","7"
"comely","7"
"evening","7"
"summer","7"
"exactly","7"
"'And","7"
"loved","7"
"joined","7"
"plotting","7"
"garden","7"
"taste","7"
"trust","7"
"shown","7"
"happiness","7"
"follow","7"
"hence","7"
"apart","7"
"narrow","7"
"breast","7"
"goods","7"
"chance","7"
"remained","7"
"astonished","7"
"pavement","7"
"inward","7"
"Orestes","7"
"main","7"
"omen","7"
"blew","7"
"finest","7"
"mourned","7"
"Aegis","7"
"mark","7"
"directly","7"
"kings","7"
"oak","7"
"Parnassus","7"
"rugs","7"
"vouchsafe","7"
"distant","7"
"proper","7"
"purple","7"
"livelong","7"
"handsome","7"
"grace","7"
"Cicons","7"
"mix","7"
"company","7"
"quickly","7"
"returning","7"
"approved","7"
"meeting","7"
"marvelled","7"
"chains","7"
"Whoever","7"
"enemies","7"
"fool","7"
"pretty","7"
"possible","7"
"green","7"
"skill","7"
"lair","7"
"use","7"
"sorts","7"
"losing","7"
"neighbour","7"
"press","7"
"quiver","7"
"ashes","7"
"sees","7"
"suffer","7"
"few","7"
"rejoiced","7"
"dying","7"
"pure","7"
"tenth","7"
"weep","7"
"finish","7"
"counsels","7"
"web","7"
"provisions","7"
"assented","7"
"usual","7"
"mid","7"
"accomplished","7"
"bind","7"
"shields","7"
"firewood","7"
"enjoy","7"
"bird","7"
"sailing","7"
"pain","7"
"ivory","7"
"dismay","7"
"solemn","7"
"protect","7"
"funeral","7"
"birth","6"
"comfortable","6"
"meaning","6"
"opened","6"
"hurt","6"
"deck","6"
"moved","6"
"bravest","6"
"beds","6"
"sake","6"
"proud","6"
"longing","6"
"hearted","6"
"bit","6"
"judgement","6"
"victims","6"
"sacrifices","6"
"surrounded","6"
"level","6"
"heart's","6"
"settled","6"
"late","6"
"continue","6"
"precious","6"
"wool","6"
"henceforward","6"
"horns","6"
"Aeaean","6"
"hid","6"
"brains","6"
"cauldron","6"
"palace","6"
"steeds","6"
"afterwards","6"
"inlaid","6"
"build","6"
"serious","6"
"senses","6"
"burden","6"
"bodies","6"
"limb","6"
"everybody","6"
"toil","6"
"grove","6"
"perfectly","6"
"houses","6"
"smiled","6"
"broad","6"
"blame","6"
"ashore","6"
"conversation","6"
"lips","6"
"quietly","6"
"wake","6"
"Iphitus","6"
"fig","6"
"rebuked","6"
"numbers","6"
"urge","6"
"whenever","6"
"whence","6"
"strung","6"
"hounds","6"
"sufficient","6"
"amid","6"
"thunder","6"
"cast","6"
"Noman","6"
"Antilochus","6"
"hot","6"
"landed","6"
"woollen","6"
"rough","6"
"storm","6"
"wickedness","6"
"somewhere","6"
"guard","6"
"Priam","6"
"task","6"
"bury","6"
"sport","6"
"trench","6"
"hunting","6"
"respectable","6"
"men's","6"
"wide","6"
"cooked","6"
"gear","6"
"sufficiently","6"
"compare","6"
"deceive","6"
"aside","6"
"travel","6"
"charmed","6"
"Eupeithes","6"
"thoroughly","6"
"managed","6"
"fierce","6"
"ball","6"
"won","6"
"Juno","6"
"Theban","6"
"lately","6"
"otherwise","6"
"walls","6"
"shooting","6"
